Date,LLOY.L,BARC.L,VOD.L,RIO.L,NG.L,BATS.L,GSK.L,Relx,BP.L,SGE.L,SMIN.L,ASC.L,DOM.L,LAND.L,TSCO.L
01/05/2004,0.022538481,-0.064896951,-0.063503746,0.062247232,0.010519017,-0.064327581,-0.023136532,0.018077977,-0.020000226,0.023155324,-0.001431664,0.056603774,-0.015556294,0.067517665,0.020010471
01/06/2004,0.001740522,-0.012092636,-0.058456463,0.009132598,-0.015616776,0.068125353,-0.012699545,0.019011415,0.027341635,0.058956821,0.07025084,0.375,0.06250106,-0.009401265,0.069277012
01/07/2004,-0.04516532,-0.02075556,0.002573881,0.080693751,0.051708732,-0.021650173,0.000895838,-0.091417557,0.059547967,-0.073726831,-0.022102926,0.597402597,0.056470509,0.000592506,-0.044131578
01/08/2004,0.011522307,0.118478132,0.058676015,-0.037683181,0.065480502,0.00179397,0.012533597,0.010266255,-0.045058179,-0.053545154,0.015753266,-0.016260163,-0.109132225,0.01500425,0.045186736
01/09/2004,0.062276768,0.046604394,0.047505913,0.091374211,0.005390415,-0.02897053,0.062571659,-0.007436109,0.078735482,-0.00764501,0.000674565,-0.05785124,0.022942234,0.019999819,0.072368437
01/10/2004,-0.001158802,0.003773587,0.054421561,-0.041722867,0.015547828,0.023720304,-0.036944042,0.003093033,0,0.1309703,0.004716921,0.307017544,0.017285,0.017050635,0.0141714
01/11/2004,-0.022621628,0.015037801,0.017920895,0.076544748,0.011089069,0.071951416,-0.04010458,-0.012334081,0.012322411,0.051771209,0.051990212,-0.05704698,-0.016991306,0.077116129,0.050522585
01/12/2004,0.122848657,0.085184655,0.018781925,0,0.036029993,0.021046817,0.119468428,0,-0.041718294,0.047927299,0.073807471,0.117437722,0.135803806,0.089494486,0.067164104
01/01/2005,0.049154522,-0.006825752,-0.03043146,0.076321264,0.059717216,0.025069556,-0.038461742,0.004162769,0.029527551,-0.023485646,0.023722676,-0.184713376,-0.032610873,-0.008563652,-0.041957996
01/02/2005,-0.013098296,-0.029209769,-0.005109447,0.11212094,-0.022759787,0.038043664,0.057872408,0.097410575,0.074569805,0.045569492,0.014854513,-0.015625,0.058428801,-0.001452534,-0.009732052
01/03/2005,-0.023991696,-0.016884186,0.030813847,-0.054856172,-0.028245086,-0.023037204,-0.014848244,0.035882749,-0.015948638,-0.017257692,-0.002927516,-0.158730159,0.093419579,-0.0596361,0.036854833
01/04/2005,-0.018399052,-0.007393744,-0.029892737,-0.075978953,0.049973707,0.080835458,0.081616208,-0.067457804,-0.026435922,-0.028571124,0.016573346,-0.08490566,0.058252753,0.02706841,-0.026856718
01/05/2005,0.012290494,-0.028863844,0.018342052,0.03225821,0.044193774,0.067484666,0.036584816,0.044839102,0.031835335,0.104858781,0.028037346,0.216494845,0.018804549,0.0753014,0.033076724
01/06/2005,0.044150152,0.065195985,-0.020173445,0.046568519,0.006514666,0.030651054,0.000919077,0.018095207,0.063102937,0.04043753,0.044318385,-0.016949153,0.065573546,-0.026610777,0.018370476
01/07/2005,0.01902771,0.00270051,0.107511602,0.11007049,-0.001871917,0.056691545,-0.007401502,-0.015902888,0.083476737,0.034637271,0.042981639,0.163793103,0.141880252,0.025129352,0.021176427
01/08/2005,-0.053942112,-0.007180965,0.036177373,0.033227659,-0.120731115,-0.018469665,-0.001491115,-0.0114056,0.003971349,-0.012958602,-0.05320851,0.088888889,-0.010479428,0.018664638,0.002303995
01/09/2005,0.047337132,0.05301443,-0.028326833,0.195957941,0.01431293,0.080461751,0.085013715,0.015491096,0.074008768,0.008751932,0.056749292,-0.054421769,-0.036361244,0.042283722,-0.051340952
01/10/2005,-0.010707013,-0.022687509,0.005424225,-0.07075057,-0.02822177,0.043660835,0.018724051,-0.016205772,-0.073496329,-0.069414287,-0.048487723,0.050359712,-0.064975953,-0.060852128,-0.020371942
01/11/2005,0.018398296,0.054464451,-0.158462775,0.08635067,0.037753979,0.01367624,-0.027229709,-0.001938224,0.016025351,0.082751078,0.090342461,-0.006849315,0.028813399,0.115190825,0.00748148
01/12/2005,0.038257059,0.034716078,0.037330458,0.1346155,0.080675759,0.031746751,0.035032788,0.060194318,-0.01587872,0.110871532,0.073922222,-0.048275862,0.160628564,0.073595878,0.094059498
01/01/2006,0.042988936,-0.016366755,-0.059760986,0.079849342,0.012313348,-0.025385138,-0.021102856,-0.029303193,0.092083889,0.031976917,-0.05162555,0.268115942,0.064585191,0.02520305,-0.040724025
01/02/2006,0.086849821,0.11231275,-0.07627096,-0.065225028,0.042571478,0.072612497,0.005563706,-0.028302856,-0.068047054,0.041314169,-0.053427098,0.182857143,0.160000074,0.092581322,0.062892784
01/03/2006,-0.005869268,0.007479817,0.105504519,0.113834073,-0.045833248,0.025754202,0.050693912,0.071844283,0.057645197,0.000160043,0.046858163,-0.06763285,0.076435996,0.047257086,-0.02366845
01/04/2006,0.012936681,0.044255379,0.074688759,0.032169957,0.005240276,0.029293912,0.03388716,-0.012680653,0.023448892,-0.091734664,0.047511678,0.07253886,0.031500883,-0.038381676,-0.031818032
01/05/2006,-0.056232078,-0.097810411,-0.050192573,-0.017573147,0.053865949,-0.045648389,-0.048842946,-0.027241656,-0.076127108,-0.072999866,-0.129965949,-0.108695652,-0.01620858,-0.018338723,0.003129867
01/06/2006,0.055610802,-0.005663531,-0.063414967,-0.03509947,-0.035448893,0.017936623,0.028210081,0.049999195,0.016614936,0.000233185,0.004509614,0.01897019,-0.013800699,-0.014286026,0.062276832
01/07/2006,0.014110826,0.021968993,-0.065447245,-0.03287884,0.069531351,0.059471681,-0.019853908,-0.021978444,0.022997133,0.007583893,0.011784648,-0.143617021,0.075886687,0.117786832,0.076347063
01/08/2006,-0.032467211,0.046974638,-0.021505391,-0.039059435,0.046759611,-0.002078867,0.004725677,0.055243129,-0.074418629,0.029032446,-0.046034256,0.055900621,-0.095546922,-0.040040718,0.049374463
01/09/2006,0.056207354,0.0417698,0.074725089,-0.041461114,0.046238334,0.013862251,-0.037099865,0.059391525,-0.016604613,0.050156994,0.042441876,0.108823529,0.035766952,0.039070646,-0.045725947
01/10/2006,0.037071271,0.049703404,0.104294724,0.144439734,0.003745062,-0.010387776,-0.015471529,0.007595819,0.001717868,-0.044775982,0.055214338,-0.018567639,0.112009798,0.065040909,0.093055719
01/11/2006,-0.033958704,-0.038163007,-0.003703297,-0.061203335,0.026119323,0.006997847,-0.034999777,-0.068676938,-0.015437201,0.067707931,-0.039640446,0.059459459,0.079903401,0.013835781,0.001582765
01/12/2006,0.057353805,0.07274101,0.084701097,0.001104964,0.088834594,-0.006949217,0.003419452,0.00809446,-0.002591787,0.057561263,0.116739715,0.140306122,0.069058138,0.093176541,0.033865803
01/01/2007,0.017498029,0.013698599,0.045936071,-0.001103745,0.042062521,0.080475907,0.015625165,0.0365743,-0.058149528,-0.006457676,0.074634563,0.082774049,0.125839081,-0.070628956,0.033374495
